ref,title,obligation_snippet
Art.28.3.g,Processor — 3(g),"Processing by a processor shall be governed by a contract or other legal act, binding on the processor with regard to the controller. (g) at the choice of the controller, deletes or returns all the pe"
Art.28.3.h,Processor — 3(h),"Processing by a processor shall be governed by a contract or other legal act, binding on the processor with regard to the controller. (h) makes available all information necessary to demonstrate compl"
Art.29,Processing under the authority of the controller or processor,"The processor and any person acting under the authority of the controller or of the processor who has access to personal data shall not process those data except on instructions from the controller, u"
Art.29.1,Processing under the authority of the controller or processor — paragraph 1,"The processor and any person acting under the authority of the controller or of the processor who has access to personal data shall not process those data except on instructions from the controller, u"
Art.33.3,Notification of a personal data breach to the supervisory authority — paragraph 3,The notification referred to in paragraph 1 shall at least: (a) describe the nature of the breach including categories and approximate number of data subjects concerned; (b) communicate the name and c
Art.33.3.a,Notification of a personal data breach to the supervisory authority — 3(a),"describe the nature of the personal data breach including where possible, the categories and approximate number of data subjects concerned;"
Art.33.3.b,Notification of a personal data breach to the supervisory authority — 3(b),communicate the name and contact details of the DPO or other contact point;
Art.33.3.c,Notification of a personal data breach to the supervisory authority — 3(c),describe the likely consequences of the personal data breach;
Art.33.3.d,Notification of a personal data breach to the supervisory authority — 3(d),"describe the measures taken or proposed to be taken to address the breach including, where appropriate, measures to mitigate its possible adverse effects."
Art.33.5,Notification of a personal data breach to the supervisory authority — paragraph 5,"The controller shall document any personal data breaches, comprising the facts relating to the personal data breach, its effects and the remedial action taken."
Art.38,Position of the data protection officer,The controller or processor shall support the data protection officer in performing the tasks referred to in Article 39 by providing resources necessary to carry out those tasks and access to personal
Art.38.2,Position of the data protection officer — paragraph 2,The controller or processor shall support the data protection officer in performing the tasks referred to in Article 39 by providing resources necessary to carry out those tasks and access to personal
Art.38.3,Position of the data protection officer — paragraph 3,The controller and processor shall ensure that the data protection officer does not receive any instructions regarding the exercise of those tasks. He or she shall not be dismissed or penalised for pe
Art.39,Tasks of the data protection officer,The data protection officer shall have at least the following tasks: (a) to inform and advise the controller or the processor and the employees of their obligations pursuant to this Regulation; (b) to
Art.39.1,Tasks of the data protection officer — paragraph 1,The data protection officer shall have at least the following tasks: (a) to inform and advise the controller or the processor and the employees of their obligations pursuant to this Regulation; (b) to
Art.40,Codes of conduct,"The Member States, the supervisory authorities, the Board and the Commission shall encourage the drawing up of codes of conduct intended to contribute to the proper application of this Regulation, tak"
Art.40.1,Codes of conduct — paragraph 1,"The Member States, the supervisory authorities, the Board and the Commission shall encourage the drawing up of codes of conduct intended to contribute to the proper application of this Regulation, tak"
Art.5,Principles relating to processing of personal data,"Personal data shall be: (a) processed lawfully, fairly and in a transparent manner in relation to the data subject ('lawfulness, fairness and transparency'); (b) collected for specified, explicit and "
Art.5.1.a,Principles relating to processing of personal data — 1(a),"Personal data shall be: (a) processed lawfully, fairly and in a transparent manner in relation to the data subject ('lawfulness, fairness and transparency');"
Art.5.1.b,Principles relating to processing of personal data — 1(b),"Personal data shall be: (b) collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes ('purpose limitation');"
Art.5.1.c,Principles relating to processing of personal data — 1(c),"Personal data shall be: (c) adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed ('data minimisation');"
Art.5.1.d,Principles relating to processing of personal data — 1(d),"Personal data shall be: (d) accurate and, where necessary, kept up to date; every reasonable step must be taken to ensure that personal data that are inaccurate are erased or rectified without delay ("
Art.5.1.e,Principles relating to processing of personal data — 1(e),Personal data shall be: (e) kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed ('storage limitation
Art.5.2,Principles relating to processing of personal data — paragraph 2,"The controller shall be responsible for, and be able to demonstrate compliance with, paragraph 1 ('accountability')."
Art.6,Lawfulness of processing,Processing shall be lawful only if and to the extent that at least one of the following applies: (a) the data subject has given consent to the processing of his or her personal data for one or more sp
Art.6.1,Lawfulness of processing — paragraph 1,Processing shall be lawful only if and to the extent that at least one of the following applies: (a) the data subject has given consent to the processing of his or her personal data for one or more sp
Art.6.1.a,Lawfulness of processing — 1(a),Processing shall be lawful only if and to the extent that at least one of the following applies: (a) the data subject has given consent to the processing of his or her personal data for one or more sp
Art.6.1.b,Lawfulness of processing — 1(b),Processing shall be lawful only if and to the extent that at least one of the following applies: (b) processing is necessary for the performance of a contract to which the data subject is party;
Art.6.1.c,Lawfulness of processing — 1(c),Processing shall be lawful only if and to the extent that at least one of the following applies: (c) processing is necessary for compliance with a legal obligation to which the controller is subject;
Art.6.1.d,Lawfulness of processing — 1(d),Processing shall be lawful only if and to the extent that at least one of the following applies: (d) processing is necessary in order to protect the vital interests of the data subject or of another n
Art.6.1.e,Lawfulness of processing — 1(e),Processing shall be lawful only if and to the extent that at least one of the following applies: (e) processing is necessary for the performance of a task carried out in the public interest;
Art.6.1.f,Lawfulness of processing — 1(f),Processing shall be lawful only if and to the extent that at least one of the following applies: (f) processing is necessary for the purposes of the legitimate interests pursued by the controller or b
Art.7.2,Conditions for consent — paragraph 2,"If the data subject's consent is given in the context of a written declaration which also concerns other matters, the request for consent shall be presented in a manner which is clearly distinguishabl"
Art.7.4,Conditions for consent — paragraph 4,"When assessing whether consent is freely given, utmost account shall be taken of whether the performance of a contract is conditional on consent to the processing of personal data that is not necessar"
Art.8,Conditions applicable to child's consent in relation to information society services,"Where point (a) of Article 6(1) applies, in relation to the offer of information society services directly to a child, the processing of the personal data of a child shall be lawful where the child is"
Art.8.1,Conditions applicable to child's consent in relation to information society services — paragraph 1,"Where point (a) of Article 6(1) applies, in relation to the offer of information society services directly to a child, the processing of the personal data of a child shall be lawful where the child is"
Art.8.2,Conditions applicable to child's consent in relation to information society services — paragraph 2,"The controller shall make reasonable efforts to verify in such cases that consent is given or authorised by the holder of parental responsibility over the child, taking into consideration available te"
Art.9,Processing of special categories of personal data,"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for"
Art.9.1,Processing of special categories of personal data — paragraph 1,"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for"
Art.9.2,Processing of special categories of personal data — paragraph 2,Paragraph 1 shall not apply if one of the following applies: (a) the data subject has given explicit consent; (b) processing is necessary for employment or social security law obligations; (c) process
Art.9.2.a,Processing of special categories of personal data — 2(a),Paragraph 1 shall not apply if one of the following applies: (a) the data subject has given explicit consent;
Art.9.2.b,Processing of special categories of personal data — 2(b),Paragraph 1 shall not apply if one of the following applies: (b) processing is necessary for employment or social security law obligations;
Art.9.2.c,Processing of special categories of personal data — 2(c),Paragraph 1 shall not apply if one of the following applies: (c) processing is necessary to protect vital interests;
Art.9.2.h,Processing of special categories of personal data — 2(h),Paragraph 1 shall not apply if one of the following applies: (h) processing is necessary for medical or occupational health purposes;
Art.9.2.j,Processing of special categories of personal data — 2(j),"Paragraph 1 shall not apply if one of the following applies: (j) processing is necessary for archiving, research or statistical purposes."
Art.92,Exercise of the delegation,The power to adopt delegated acts is conferred on the Commission subject to the conditions laid down in this Article. The power to adopt delegated acts referred to in this Regulation shall be conferre
Art.92.1,Exercise of the delegation — paragraph 1,The power to adopt delegated acts is conferred on the Commission subject to the conditions laid down in this Article. The power to adopt delegated acts referred to in this Regulation shall be conferre
Art.93,Committee procedure,The Commission shall be assisted by a committee. That committee shall be a committee within the meaning of Regulation (EU) No 182/2011.
Art.93.1,Committee procedure — paragraph 1,The Commission shall be assisted by a committee. That committee shall be a committee within the meaning of Regulation (EU) No 182/2011.
Art.94,Repeal of Directive 95/46/EC,Directive 95/46/EC is repealed with effect from 25 May 2018. References to the repealed Directive shall be construed as references to this Regulation.
Art.94.1,Repeal of Directive 95/46/EC — paragraph 1,Directive 95/46/EC is repealed with effect from 25 May 2018. References to the repealed Directive shall be construed as references to this Regulation.
Art.96,Relationship with previously concluded Agreements,"International agreements involving the transfer of personal data to third countries or international organisations which were concluded by Member States prior to 24 May 2016, and which comply with Uni"
Art.96.1,Relationship with previously concluded Agreements — paragraph 1,"International agreements involving the transfer of personal data to third countries or international organisations which were concluded by Member States prior to 24 May 2016, and which comply with Uni"
Art.97,Commission reports,"By 25 May 2020 and every four years thereafter, the Commission shall submit a report on the evaluation and review of this Regulation to the European Parliament and to the Council. The reports shall be"
Art.97.1,Commission reports — paragraph 1,"By 25 May 2020 and every four years thereafter, the Commission shall submit a report on the evaluation and review of this Regulation to the European Parliament and to the Council. The reports shall be"
Art.98,Review of other Union legal acts on data protection,"The Commission shall, if appropriate, submit legislative proposals with a view to amending other Union legal acts on the protection of personal data, in order to ensure uniform and consistent protecti"
Art.98.1,Review of other Union legal acts on data protection — paragraph 1,"The Commission shall, if appropriate, submit legislative proposals with a view to amending other Union legal acts on the protection of personal data, in order to ensure uniform and consistent protecti"
Art.99.2,Entry into force and application — paragraph 2,It shall apply from 25 May 2018.
